name,desc,type,label,range,units,unique values,missing .,unique mv codes,missing .*,"missing """"",mean,std. dev
v117,Important to live in secure and safe surroundings,numeric (double),impsafe,"[1,6]",1,6,"18/39,325",4,"1,022/39,325",,,
v118,Important to follow traditions and customs,numeric (double),imptrad,"[1,6]",1,6,"18/39,325",4,"1,067/39,325",,,
v119,Allow many/few immigrants of same race/ethnic group as majority,numeric (double),imsmetn,"[1,4]",1,4,"0/39,325",3,"985/39,325",,,
v120,Country's cultural life undermined or enriched by immigrants,numeric (double),"imueclt, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"1,321/39,325",,,
v121,Immigrants make country worse or better place to live,numeric (double),"imwbcnt, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"1,486/39,325",,,
v122,How many people with whom you can discuss intimate and personal matters,numeric (double),"inprdsc, but 3 nonmissing values are not labeled","[0,6]",1,7,"0/39,325",3,"338/39,325",,,
v123,"Place of interview: East, West Germany",numeric (double),intewde,"[1,2]",1,2,"36,360/39,325",,,,,
v124,"End of interview, day of month",numeric (double),"inwdde, but 31 nonmissing values are not labeled","[1,31]",1,31,"0/39,325",1,"10/39,325",,,
v125,"Start of interview, day of month",numeric (double),"inwdds, but 31 nonmissing values are not labeled","[1,31]",1,31,"0/39,325",1,"3/39,325",,,
v126,"End of interview, hour",numeric (double),"inwehh, but 24 nonmissing values are not labeled","[0,23]",1,24,"1,247/39,325",2,"83/39,325",,,
v127,"End of interview, minute",numeric (double),"inwemm, but 60 nonmissing values are not labeled","[0,59]",1,60,"1,247/39,325",2,"83/39,325",,,
v128,"End of interview, month",numeric (double),"inwmme, but 12 nonmissing values are not labeled","[1,12]",1,12,"0/39,325",1,"7/39,325",,,
v129,"Start of interview, month",numeric (double),"inwmms, but 12 nonmissing values are not labeled","[1,12]",1,12,"0/39,325",,,,,
v130,"Start of interview, hour",numeric (double),"inwshh, but 24 nonmissing values are not labeled","[0,23]",1,24,"1,247/39,325",2,"89/39,325",,,
v131,"Start of interview, minute",numeric (double),"inwsmm, but 60 nonmissing values are not labeled","[0,59]",1,60,"1,247/39,325",2,"89/39,325",,,
v132,"Interview length in minutes, main questionnaire",numeric (double),,"[0,772]",1,214,"1,574/39,325",,,,57.3612,21.2172
v133,"End of interview, year",numeric (double),"inwyye, but 2 nonmissing values are not labeled","[2014,2015]",1,2,"0/39,325",1,"7/39,325",,,
v134,"Start of interview, year",numeric (double),"inwyys, but 2 nonmissing values are not labeled","[2014,2015]",1,2,"0/39,325",,,,,
v135,Allowed to influence policy decisions about activities of organisation,numeric (double),"iorgact, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",4,"3,701/39,325",,,
v136,Important to seek adventures and have an exciting life,numeric (double),ipadvnt,"[1,6]",1,6,"18/39,325",4,"1,059/39,325",,,
v137,Important to behave properly,numeric (double),ipbhprp,"[1,6]",1,6,"18/39,325",4,"1,099/39,325",,,
v138,Important to think new ideas and being creative,numeric (double),ipcrtiv,"[1,6]",1,6,"18/39,325",4,"1,049/39,325",,,
v139,Important that people are treated equally and have equal opportunities,numeric (double),ipeqopt,"[1,6]",1,6,"18/39,325",4,"1,028/39,325",,,
v140,Important to do what is told and follow rules,numeric (double),ipfrule,"[1,6]",1,6,"18/39,325",4,"1,190/39,325",,,
v141,Important to have a good time,numeric (double),ipgdtim,"[1,6]",1,6,"18/39,325",4,"1,050/39,325",,,
v142,Important to help people and care for others well-being,numeric (double),iphlppl,"[1,6]",1,6,"18/39,325",4,"1,002/39,325",,,
v143,Important to be loyal to friends and devote to people close,numeric (double),iplylfr,"[1,6]",1,6,"18/39,325",4,"1,018/39,325",,,
v144,"Important to be humble and modest, not draw attention",numeric (double),ipmodst,"[1,6]",1,6,"18/39,325",4,"1,073/39,325",,,
v145,Important to get respect from others,numeric (double),iprspot,"[1,6]",1,6,"18/39,325",4,"1,174/39,325",,,
v146,Important to show abilities and be admired,numeric (double),ipshabt,"[1,6]",1,6,"18/39,325",4,"1,076/39,325",,,
v147,Important that government is strong and ensures safety,numeric (double),ipstrgv,"[1,6]",1,6,"18/39,325",4,"1,244/39,325",,,
v148,Important to be successful and that people recognize achievements,numeric (double),ipsuces,"[1,6]",1,6,"18/39,325",4,"1,137/39,325",,,
v149,Important to understand different people,numeric (double),ipudrst,"[1,6]",1,6,"18/39,325",4,"1,073/39,325",,,
v150,"Occupation, ISCO08",numeric (double),isco08,"[0,9629]",1,549,"0/39,325",4,"3,622/39,325",,,
v151,"Occupation partner, ISCO08",numeric (double),isco08p,"[0,9629]",1,524,"0/39,325",4,"25,339/39,325",,,
v152,Responsible for supervising other employees,numeric (double),jbspv,"[1,2]",1,2,"0/39,325",4,"3,260/39,325",,,
v153,What year you first came to live in country,numeric (double),"livecnta, but 88 nonmissing values are not labeled","[1921,2015]",1,88,"0/39,325",4,"34,938/39,325",,,
v154,Language most often spoken at home: first mentioned,string (str3),,,,123,,,,"0/39,325",,
v155,Language most often spoken at home: second mentioned,string (str3),,,,129,,,,"0/39,325",,
v156,Placement on left right scale,numeric (double),"lrscale, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"4,242/39,325",,,
v157,"Ever lived with a partner, without being married",numeric (double),lvgptnea,"[1,2]",1,2,"0/39,325",4,"5,179/39,325",,,
v158,Main activity last 7 days,numeric (double),mainact,"[1,9]",1,9,"0/39,325",3,"33,971/39,325",,,
v159,"Legal marital status, post coded",numeric (double),maritalb,"[1,6]",1,6,"0/39,325",3,"401/39,325",,,
v160,Legal marital status,numeric (double),marsts,"[1,6]",1,6,"0/39,325",4,"19,399/39,325",,,
v161,"Country of birth, mother",string (str2),,,,173,,,,"0/39,325",,
v162,Member of trade union or similar organisation,numeric (double),mbtru,"[1,3]",1,3,"0/39,325",3,"337/39,325",,,
v163,"Main activity, last 7 days. All respondents. Post coded",numeric (double),mnactic,"[1,9]",1,9,"0/39,325",3,"140/39,325",,,
v164,Partner's main activity last 7 days,numeric (double),mnactp,"[1,9]",1,8,"0/39,325",4,"36,971/39,325",,,
v165,Mother born in country,numeric (double),mocntr,"[1,2]",1,2,"0/39,325",3,"91/39,325",,,
v166,Administration of supplementary questionnaire,numeric (double),mode,"[1,2]",1,2,"0/39,325",1,"182/39,325",,,
v167,"Industry, NACE rev.2",numeric (double),nacer2,"[1,99]",1,88,"0/39,325",4,"3,835/39,325",,,
v168,Number of people responsible for in job,numeric (double),"njbspv, but 155 nonmissing values are not labeled","[0,60000]",1,155,"0/39,325",4,"28,774/39,325",,,
v169,Father's occupation when respondent 14,numeric (double),occf14b,"[1,9]",1,9,"0/39,325",4,"5,795/39,325",,,
v170,Mother's occupation when respondent 14,numeric (double),occm14b,"[1,9]",1,9,"0/39,325",4,"16,732/39,325",,,
v171,Lives with husband/wife/partner at household grid,numeric (double),partner,"[1,2]",1,2,"0/39,325",1,"148/39,325",,,
v172,Taken part in lawful public demonstration last 12 months,numeric (double),pbldmn,"[1,2]",1,2,"0/39,325",3,"73/39,325",,,
v173,Ever had a paid job,numeric (double),pdjobev,"[1,2]",1,2,"0/39,325",4,"21,438/39,325",,,
v174,Year last in paid job,numeric (double),"pdjobyr, but 77 nonmissing values are not labeled","[1932,2015]",1,77,"0/39,325",4,"25,350/39,325",,,
v175,Doing last 7 days: paid work,numeric (double),pdwrk,"[0,1]",1,2,"0/39,325",,,,,
v176,Partner doing last 7 days: paid work,numeric (double),pdwrkp,"[0,1]",1,2,"0/39,325",,,,,
v177,How interested in politics,numeric (double),polintr,"[1,4]",1,4,"0/39,325",3,"107/39,325",,,
v178,"Most people try to take advantage of you, or try to be fair",numeric (double),"pplfair, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"271/39,325",,,
v179,Most of the time people helpful or mostly looking out for themselves,numeric (double),"pplhlp, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"140/39,325",,,
v180,Most people can be trusted or you can't be too careful,numeric (double),"ppltrst, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"75/39,325",,,
v181,How often pray apart from at religious services,numeric (double),pray,"[1,7]",1,7,"0/39,325",3,"508/39,325",,,
v182,How close to party,numeric (double),prtdgcl,"[1,4]",1,4,"0/39,325",4,"20,844/39,325",,,
v183,Political system allows people to have influence on politics,numeric (double),"psppipl, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"883/39,325",,,
v184,Political system allows people to have a say in what government does,numeric (double),"psppsgv, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"939/39,325",,,
v185,Regional unit,numeric (double),regunit,"[1,4]",1,4,"0/39,325",,,,,
v186,How often attend religious services apart from special occasions,numeric (double),rlgatnd,"[1,7]",1,7,"0/39,325",3,"159/39,325",,,
v187,Belonging to particular religion or denomination,numeric (double),rlgblg,"[1,2]",1,2,"0/39,325",3,"177/39,325",,,
v188,Ever belonging to particular religion or denomination,numeric (double),rlgblge,"[1,2]",1,2,"0/39,325",4,"22,722/39,325",,,
v189,How religious are you,numeric (double),"rlgdgr, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"283/39,325",,,
v190,Religion or denomination belonging to at present,numeric (double),rlgdnm,"[1,8]",1,8,"0/39,325",3,"16,835/39,325",,,
v191,Religion or denomination belonging to in the past,numeric (double),rlgdnme,"[1,8]",1,8,"0/39,325",3,"35,140/39,325",,,
v192,Tenth person in household: relationship to respondent,numeric (double),rship10,"[2,5]",1,3,"14,320/39,325",4,"24,959/39,325",,,
v193,Eleventh person in household: relationship to respondent,numeric (double),rship11,"[2,5]",1,3,"18,264/39,325",3,"21,034/39,325",,,
v194,Twelfth person in household: relationship to respondent,numeric (double),rship12,"[2,4]",1,2,"21,843/39,325",3,"17,472/39,325",,,
v195,Thirteenth person in household: relationship to respondent,numeric (double),rship13,"[2,2]",1,1,"35,393/39,325",3,"3,931/39,325",,,
v196,Second person in household: relationship to respondent,numeric (double),rship2,"[1,5]",1,5,"0/39,325",4,"8,391/39,325",,,
v197,Third person in household: relationship to respondent,numeric (double),rship3,"[1,5]",1,5,"0/39,325",4,"22,036/39,325",,,
v198,Fourth person in household: relationship to respondent,numeric (double),rship4,"[1,5]",1,5,"0/39,325",4,"29,110/39,325",,,
v199,Fifth person in household: relationship to respondent,numeric (double),rship5,"[1,5]",1,5,"0/39,325",4,"35,601/39,325",,,
v200,Sixth person in household: relationship to respondent,numeric (double),rship6,"[1,5]",1,5,"0/39,325",4,"37,998/39,325",,,
v201,Seventh person in household: relationship to respondent,numeric (double),rship7,"[1,5]",1,5,"2,097/39,325",4,"36,767/39,325",,,
v202,Eighth person in household: relationship to respondent,numeric (double),rship8,"[2,5]",1,3,"6,972/39,325",4,"32,184/39,325",,,
v203,Ninth person in household: relationship to respondent,numeric (double),rship9,"[2,5]",1,3,"12,820/39,325",4,"26,433/39,325",,,
v204,Tenth person in household: relationship to respondent,numeric (double),rshipa10,"[2,6]",1,4,"14,320/39,325",4,"24,959/39,325",,,
v205,Eleventh person in household: relationship to respondent,numeric (double),rshipa11,"[2,6]",1,4,"18,264/39,325",3,"21,034/39,325",,,
v206,Twelfth person in household: relationship to respondent,numeric (double),rshipa12,"[2,4]",1,2,"21,843/39,325",3,"17,472/39,325",,,
v207,Thirteenth person in household: relationship to respondent,numeric (double),rshipa13,"[2,2]",1,1,"35,393/39,325",3,"3,931/39,325",,,
v208,Second person in household: relationship to respondent,numeric (double),rshipa2,"[1,6]",1,6,"0/39,325",4,"8,391/39,325",,,
v209,Third person in household: relationship to respondent,numeric (double),rshipa3,"[1,6]",1,6,"0/39,325",4,"22,036/39,325",,,
v210,Fourth person in household: relationship to respondent,numeric (double),rshipa4,"[1,6]",1,6,"0/39,325",4,"29,110/39,325",,,
v211,Fifth person in household: relationship to respondent,numeric (double),rshipa5,"[1,6]",1,6,"0/39,325",4,"35,601/39,325",,,
v212,Sixth person in household: relationship to respondent,numeric (double),rshipa6,"[1,6]",1,6,"0/39,325",4,"37,998/39,325",,,
v213,Seventh person in household: relationship to respondent,numeric (double),rshipa7,"[1,6]",1,6,"2,097/39,325",4,"36,767/39,325",,,
v214,Eighth person in household: relationship to respondent,numeric (double),rshipa8,"[2,6]",1,4,"6,972/39,325",4,"32,184/39,325",,,
v215,Ninth person in household: relationship to respondent,numeric (double),rshipa9,"[2,6]",1,4,"12,820/39,325",4,"26,433/39,325",,,
v216,Relationship with husband/wife/partner currently living with,numeric (double),rshpsts,"[1,6]",1,6,"0/39,325",4,"16,249/39,325",,,
v217,Doing last 7 days: retired,numeric (double),rtrd,"[0,1]",1,2,"0/39,325",,,,,
v218,Partner doing last 7 days: retired,numeric (double),rtrdp,"[0,1]",1,2,"0/39,325",,,,,
v219,Take part in social activities compared to others of same age,numeric (double),sclact,"[1,5]",1,5,"0/39,325",3,"565/39,325",,,
v220,"How often socially meet with friends, relatives or colleagues",numeric (double),sclmeet,"[1,7]",1,7,"0/39,325",3,"572/39,325",,,
v221,Signed petition last 12 months,numeric (double),sgnptit,"[1,2]",1,2,"0/39,325",3,"148/39,325",,,
v222,"Sleep was restless, how often past week",numeric (double),slprl,"[1,4]",1,4,"0/39,325",3,"175/39,325",,,
v223,How satisfied with the way democracy works in country,numeric (double),"stfdem, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"1,153/39,325",,,
v224,How satisfied with present state of economy in country,numeric (double),"stfeco, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"635/39,325",,,
v225,State of education in country nowadays,numeric (double),"stfedu, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"1,649/39,325",,,
v226,How satisfied with the national government,numeric (double),"stfgov, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"1,154/39,325",,,
v227,State of health services in country nowadays,numeric (double),"stfhlth, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"287/39,325",,,
v228,"Day of month, supplementary questionnaire",numeric (double),"supqdd, but 31 nonmissing values are not labeled","[1,31]",1,31,"0/39,325",1,"286/39,325",,,
v229,"Month, supplementary questionnaire",numeric (double),"supqmm, but 12 nonmissing values are not labeled","[1,12]",1,12,"0/39,325",1,"282/39,325",,,
v230,"Year, supplementary questionnaire",numeric (double),"supqyr, but 2 nonmissing values are not labeled","[2014,2015]",1,2,"0/39,325",1,"282/39,325",,,
